epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27893,0,40.1004,0,0,0,0,0,0,41.3035,0,0,0,0
2,2.48194,0,40.0935,0,0,0,0,0,0,41.305,0,8.16507e-06,8.16507e-06,8.16507e-06
3,3.65484,0,40.0832,0,0,0,0,0,0,41.3047,0,1.60003e-05,1.60003e-05,1.60003e-05
4,4.8153,0,40.0229,0,0,0,0,0,0,41.306,0,2.35056e-05,2.35056e-05,2.35056e-05
5,5.96869,0,39.9316,0,0,0,0,0,0,41.3064,0,3.06811e-05,3.06811e-05,3.06811e-05
6,7.12409,0,39.8362,0,0,0,0,0,0,41.3068,0,3.75266e-05,3.75266e-05,3.75266e-05
7,8.30851,0,39.711,0,0,0,0,0,0,41.3072,0,4.40424e-05,4.40424e-05,4.40424e-05
8,9.5034,0,39.6221,0,0,0,0,0,0,41.3068,0,5.02282e-05,5.02282e-05,5.02282e-05
9,10.6528,0,39.4511,0,0,0,0,0,0,41.3068,0,5.60842e-05,5.60842e-05,5.60842e-05
10,11.8153,0,39.4601,0,0,0,0,0,0,41.3103,0,6.16103e-05,6.16103e-05,6.16103e-05
11,12.9713,0,39.3335,0,0,0,0,0,0,41.3103,0,6.68066e-05,6.68066e-05,6.68066e-05
12,14.159,0,39.2933,0,0,0,0,0,0,41.3114,0,7.1673e-05,7.1673e-05,7.1673e-05
13,15.2931,0,39.1962,0,0,0,0,0,0,41.3114,0,7.62095e-05,7.62095e-05,7.62095e-05
14,16.4863,0,39.1437,0,0,0,0,0,0,41.3125,0,8.04162e-05,8.04162e-05,8.04162e-05
15,17.6338,0,39.0096,0,0,0,0,0,0,41.3125,0,8.42929e-05,8.42929e-05,8.42929e-05
16,18.84,0,39.0276,0,0,0,0,0,0,41.3081,0,8.78398e-05,8.78398e-05,8.78398e-05
17,20.0025,0,38.8783,0,0,0,0,0,0,41.3081,0,9.10569e-05,9.10569e-05,9.10569e-05
18,21.1867,0,38.8637,0,0,0,0,0,0,41.3024,0,9.39441e-05,9.39441e-05,9.39441e-05
19,22.4729,0,38.7286,0,0,0,0,0,0,41.3024,0,9.65014e-05,9.65014e-05,9.65014e-05
20,24.2268,0,38.7151,0,0,0,0,0,0,41.2923,0,9.87288e-05,9.87288e-05,9.87288e-05
21,25.4073,0,38.5529,0,0,0,0,0,0,41.2923,0,0.000100626,0.000100626,0.000100626
22,26.5797,0,38.5879,0,0,0,0,0,0,41.2834,0,0.000102194,0.000102194,0.000102194
23,27.9116,0,38.4494,0,0,0,0,0,0,41.2834,0,0.000103432,0.000103432,0.000103432
24,29.161,0,38.4571,0,0,0,0,0,0,41.2834,0,0.00010434,0.00010434,0.00010434
25,30.4585,0,38.4338,0,0,0,0,0,0,41.28,0,0.000104918,0.000104918,0.000104918
26,31.7061,0,38.3144,0,0,0,0,0,0,41.28,0,0.000105166,0.000105166,0.000105166
27,32.9419,0,38.2896,0,0,0,0,0,0,41.28,0,0.000105085,0.000105085,0.000105085
28,34.2139,0,38.3201,0,0,0,0,0,0,41.2746,0,0.000104673,0.000104673,0.000104673
29,35.4648,0,38.1201,0,0,0,0,0,0,41.2746,0,0.000103932,0.000103932,0.000103932
30,36.676,0,38.1357,0,0,0,0,0,0,41.2746,0,0.000102861,0.000102861,0.000102861
31,38.181,0,38.188,0,0,0,0,0,0,41.2685,0,0.000101459,0.000101459,0.000101459
32,39.5091,0,37.9887,0,0,0,0,0,0,41.2685,0,9.97284e-05,9.97284e-05,9.97284e-05
33,40.792,0,37.9748,0,0,0,0,0,0,41.2685,0,9.76676e-05,9.76676e-05,9.76676e-05
34,42.2724,0,38.0052,0,0,0,0,0,0,41.2612,0,9.52769e-05,9.52769e-05,9.52769e-05
