epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.19723,0,40.1004,0,0,0,0,0,0,41.3035,0,0,0,0
2,2.39137,0,40.0935,0,0,0,0,0,0,41.305,0,8.16507e-06,8.16507e-06,8.16507e-06
3,3.57646,0,40.0832,0,0,0,0,0,0,41.3047,0,1.60003e-05,1.60003e-05,1.60003e-05
4,4.70298,0,40.0229,0,0,0,0,0,0,41.306,0,2.35056e-05,2.35056e-05,2.35056e-05
5,5.84753,0,39.9316,0,0,0,0,0,0,41.3064,0,3.06811e-05,3.06811e-05,3.06811e-05
6,7.04529,0,39.8362,0,0,0,0,0,0,41.3068,0,3.75266e-05,3.75266e-05,3.75266e-05
7,8.26032,0,39.711,0,0,0,0,0,0,41.3072,0,4.40424e-05,4.40424e-05,4.40424e-05
8,9.40558,0,39.6221,0,0,0,0,0,0,41.3068,0,5.02282e-05,5.02282e-05,5.02282e-05
9,10.5279,0,39.4511,0,0,0,0,0,0,41.3068,0,5.60842e-05,5.60842e-05,5.60842e-05
10,11.6678,0,39.4601,0,0,0,0,0,0,41.3103,0,6.16103e-05,6.16103e-05,6.16103e-05
11,12.7831,0,39.3335,0,0,0,0,0,0,41.3103,0,6.68066e-05,6.68066e-05,6.68066e-05
12,13.9542,0,39.2933,0,0,0,0,0,0,41.3114,0,7.1673e-05,7.1673e-05,7.1673e-05
13,15.2667,0,39.1962,0,0,0,0,0,0,41.3114,0,7.62095e-05,7.62095e-05,7.62095e-05
14,16.6684,0,39.1437,0,0,0,0,0,0,41.3125,0,8.04162e-05,8.04162e-05,8.04162e-05
15,17.9127,0,39.0096,0,0,0,0,0,0,41.3125,0,8.42929e-05,8.42929e-05,8.42929e-05
16,19.093,0,39.0276,0,0,0,0,0,0,41.3081,0,8.78398e-05,8.78398e-05,8.78398e-05
17,20.438,0,38.8783,0,0,0,0,0,0,41.3081,0,9.10569e-05,9.10569e-05,9.10569e-05
