                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.076,                 2.7488,                 1.1695,                0.90555,                0.87772,                0.94445,                0.76833,                0.72217,                0.75238,                 1.0061,              0.0033318,              0.0033318,              0.0033318
                      2,                0.89812,                 1.4064,                 1.0664,                0.94382,                0.90866,                0.95971,                0.78326,                0.72045,                0.63465,                 1.0096,              0.0065991,              0.0065991,              0.0065991
                      3,                0.92072,                 1.0813,                  1.088,                0.93435,                0.90269,                0.95609,                0.77782,                0.72116,                0.60879,                  1.022,              0.0098005,              0.0098005,              0.0098005
                      4,                0.90609,                0.92864,                  1.094,                0.95263,                0.93772,                0.96959,                0.81029,                0.65184,                0.49608,                0.99176,               0.009703,               0.009703,               0.009703
                      5,                0.84887,                0.80392,                 1.0698,                0.96318,                0.95365,                0.97678,                0.82958,                0.61764,                0.42264,                0.97643,               0.009703,               0.009703,               0.009703
                      6,                0.81418,                0.74062,                 1.0536,                0.96689,                 0.9595,                0.97981,                0.83789,                0.60052,                 0.3853,                0.97343,               0.009604,               0.009604,               0.009604
                      7,                0.78794,                0.69453,                 1.0424,                 0.9698,                0.95796,                0.98204,                0.84826,                0.58069,                0.36565,                0.96016,               0.009505,               0.009505,               0.009505
                      8,                0.76944,                0.66274,                 1.0351,                0.97287,                0.96265,                0.98174,                0.85387,                0.55838,                0.34465,                0.95468,               0.009406,               0.009406,               0.009406
                      9,                0.75652,                0.64415,                 1.0267,                0.97169,                0.96489,                0.98259,                0.85877,                0.54768,                0.33632,                0.94825,               0.009307,               0.009307,               0.009307
                     10,                0.74682,                 0.6308,                 1.0215,                0.97264,                0.96522,                0.98263,                0.86029,                0.54636,                0.32564,                0.94337,               0.009208,               0.009208,               0.009208
                     11,                 0.7357,                0.61538,                 1.0181,                 0.9737,                0.96653,                0.98317,                0.86506,                0.53408,                0.31625,                0.93889,               0.009109,               0.009109,               0.009109
                     12,                0.72336,                0.60067,                 1.0091,                0.97543,                0.96651,                0.98347,                0.86866,                0.52314,                0.30661,                0.93239,                0.00901,                0.00901,                0.00901
                     13,                0.72443,                0.59955,                 1.0105,                0.97273,                0.97029,                0.98463,                0.87261,                0.51795,                0.30183,                0.93088,               0.008911,               0.008911,               0.008911
                     14,                0.71423,                0.58412,                 1.0068,                0.97666,                0.97001,                0.98404,                0.87443,                0.51056,                0.29437,                0.92776,               0.008812,               0.008812,               0.008812
                     15,                0.71135,                0.57806,                 1.0043,                 0.9775,                 0.9704,                0.98509,                0.87761,                0.50769,                0.28841,                0.92568,               0.008713,               0.008713,               0.008713
                     16,                0.70056,                0.56977,                0.99808,                0.97806,                0.97048,                0.98541,                0.87886,                 0.5016,                0.28469,                0.92301,               0.008614,               0.008614,               0.008614
                     17,                0.69787,                0.55973,                0.99774,                0.97843,                0.97058,                0.98568,                0.88124,                0.49584,                 0.2803,                0.92159,               0.008515,               0.008515,               0.008515
                     18,                0.69731,                0.55566,                0.99755,                0.97849,                0.97248,                0.98651,                0.88344,                0.49376,                 0.2758,                0.92052,               0.008416,               0.008416,               0.008416
                     19,                0.69155,                 0.5481,                0.99433,                0.97734,                 0.9731,                0.98653,                0.88546,                0.49068,                0.27204,                0.91848,               0.008317,               0.008317,               0.008317
                     20,                0.68849,                0.54879,                0.99443,                0.97977,                0.97284,                 0.9867,                0.88628,                0.48873,                0.26998,                0.91705,               0.008218,               0.008218,               0.008218
                     21,                0.68531,                0.53887,                0.99313,                0.98004,                0.97121,                 0.9862,                0.88648,                0.48577,                0.26792,                0.91624,               0.008119,               0.008119,               0.008119
                     22,                0.67964,                0.53643,                0.98953,                 0.9802,                0.97127,                0.98667,                0.88775,                0.48415,                0.26507,                0.91531,                0.00802,                0.00802,                0.00802
                     23,                0.67978,                0.53746,                0.98795,                0.98026,                0.97232,                0.98649,                0.88847,                0.48272,                 0.2638,                0.91459,               0.007921,               0.007921,               0.007921
                     24,                0.67825,                0.53287,                0.98829,                0.97919,                0.97278,                 0.9865,                0.88911,                0.48144,                0.26217,                0.91356,               0.007822,               0.007822,               0.007822
                     25,                0.67287,                0.52595,                0.98458,                 0.9801,                0.97213,                0.98676,                0.88999,                 0.4794,                0.26029,                0.91231,               0.007723,               0.007723,               0.007723
                     26,                0.67018,                0.52467,                0.98441,                0.98087,                0.97197,                0.98708,                0.89052,                0.47832,                0.25899,                0.91185,               0.007624,               0.007624,               0.007624
                     27,                  0.668,                0.51879,                0.98207,                0.98088,                0.97197,                0.98736,                0.89171,                0.47736,                0.25799,                 0.9116,               0.007525,               0.007525,               0.007525
                     28,                0.66988,                0.51957,                0.98512,                0.98218,                0.97186,                0.98777,                0.89199,                0.47636,                0.25699,                0.91138,               0.007426,               0.007426,               0.007426
                     29,                0.66319,                0.51246,                0.98005,                0.98196,                0.97229,                0.98772,                0.89222,                 0.4754,                0.25586,                0.91097,               0.007327,               0.007327,               0.007327
                     30,                0.66405,                0.51369,                0.98123,                0.98219,                0.97251,                0.98784,                0.89205,                0.47467,                0.25539,                0.91073,               0.007228,               0.007228,               0.007228
                     31,                0.65929,                0.50918,                0.98046,                 0.9824,                0.97265,                0.98785,                0.89252,                0.47396,                0.25509,                0.91027,               0.007129,               0.007129,               0.007129
                     32,                0.65829,                0.50721,                0.97606,                0.98251,                0.97261,                0.98786,                0.89286,                0.47322,                0.25425,                0.90979,                0.00703,                0.00703,                0.00703
                     33,                0.65437,                0.50483,                0.97636,                 0.9825,                0.97263,                0.98802,                0.89285,                0.47257,                0.25358,                0.90929,               0.006931,               0.006931,               0.006931
                     34,                0.65617,                0.50254,                0.97853,                0.98226,                0.97289,                0.98812,                0.89339,                 0.4722,                0.25278,                  0.909,               0.006832,               0.006832,               0.006832
                     35,                0.65359,                0.50103,                0.97482,                0.98216,                0.97312,                0.98824,                0.89364,                0.47166,                0.25237,                0.90869,               0.006733,               0.006733,               0.006733
                     36,                0.64992,                0.49513,                0.97349,                0.98229,                0.97305,                0.98825,                0.89367,                0.47129,                0.25183,                0.90859,               0.006634,               0.006634,               0.006634
                     37,                0.65118,                0.49635,                0.97519,                0.98238,                0.97305,                 0.9883,                0.89408,                0.47084,                0.25153,                0.90839,               0.006535,               0.006535,               0.006535
                     38,                0.65243,                0.49896,                0.97723,                0.98226,                 0.9732,                0.98836,                0.89435,                0.47042,                0.25111,                0.90816,               0.006436,               0.006436,               0.006436
                     39,                0.64485,                0.49078,                0.97166,                0.98212,                 0.9731,                0.98835,                0.89475,                0.47007,                0.25064,                0.90795,               0.006337,               0.006337,               0.006337
                     40,                0.64531,                0.48702,                0.97168,                0.98218,                0.97311,                0.98845,                0.89476,                0.46959,                0.25015,                0.90765,               0.006238,               0.006238,               0.006238
                     41,                0.64035,                0.48457,                0.96908,                0.98223,                0.97328,                 0.9885,                0.89532,                0.46905,                0.24962,                0.90728,               0.006139,               0.006139,               0.006139
                     42,                0.64204,                0.48587,                0.97039,                0.98254,                0.97324,                0.98857,                0.89531,                 0.4687,                0.24925,                0.90693,                0.00604,                0.00604,                0.00604
                     43,                0.63771,                0.47921,                0.96671,                0.98257,                 0.9732,                0.98865,                0.89592,                0.46823,                0.24838,                0.90659,               0.005941,               0.005941,               0.005941
                     44,                 0.6343,                0.47802,                0.96642,                 0.9827,                0.97344,                0.98869,                0.89621,                0.46786,                0.24779,                0.90644,               0.005842,               0.005842,               0.005842
                     45,                 0.6352,                0.47767,                0.96734,                0.98163,                0.97411,                0.98871,                0.89637,                0.46742,                 0.2472,                0.90619,               0.005743,               0.005743,               0.005743
                     46,                0.63494,                   0.48,                0.96661,                0.98292,                0.97291,                0.98883,                0.89669,                0.46704,                0.24673,                0.90596,               0.005644,               0.005644,               0.005644
                     47,                0.63579,                0.47663,                0.96666,                0.98303,                0.97296,                0.98883,                0.89702,                0.46649,                0.24641,                0.90566,               0.005545,               0.005545,               0.005545
                     48,                0.63219,                0.47446,                0.96603,                0.98322,                 0.9734,                0.98886,                0.89738,                0.46602,                 0.2455,                0.90536,               0.005446,               0.005446,               0.005446
                     49,                0.63179,                0.47192,                0.96321,                0.98356,                0.97355,                 0.9889,                0.89752,                0.46564,                0.24479,                0.90506,               0.005347,               0.005347,               0.005347
                     50,                0.62673,                0.46807,                0.96244,                0.98374,                0.97366,                0.98892,                0.89779,                0.46514,                0.24479,                0.90457,               0.005248,               0.005248,               0.005248
                     51,                0.62556,                0.46974,                0.96143,                0.98363,                0.97382,                 0.9889,                0.89783,                0.46497,                0.24441,                0.90442,               0.005149,               0.005149,               0.005149
                     52,                0.62574,                0.46743,                0.96224,                0.98376,                0.97368,                0.98892,                0.89777,                0.46459,                0.24411,                0.90421,                0.00505,                0.00505,                0.00505
                     53,                0.62248,                0.46279,                0.96311,                0.98369,                0.97348,                 0.9889,                 0.8983,                0.46407,                0.24346,                0.90378,               0.004951,               0.004951,               0.004951
                     54,                0.61915,                0.46011,                0.95869,                0.98367,                0.97344,                0.98894,                0.89821,                0.46379,                0.24362,                0.90346,               0.004852,               0.004852,               0.004852
                     55,                0.61937,                0.45714,                0.95749,                0.98369,                0.97365,                0.98895,                0.89839,                0.46322,                 0.2435,                0.90298,               0.004753,               0.004753,               0.004753
                     56,                0.61419,                0.45284,                0.95368,                0.98351,                0.97376,                  0.989,                0.89885,                0.46272,                0.24348,                0.90255,               0.004654,               0.004654,               0.004654
                     57,                0.61614,                 0.4513,                0.95543,                0.98335,                0.97359,                0.98899,                0.89923,                0.46231,                0.24342,                0.90205,               0.004555,               0.004555,               0.004555
                     58,                0.61002,                0.44889,                0.95236,                0.98361,                0.97377,                0.98914,                0.89953,                0.46203,                0.24363,                0.90152,               0.004456,               0.004456,               0.004456
