epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.98144,0,20.0427,0,0,0,0,0,0,41.3031,0,8.33e-06,8.33e-06,8.33e-06
2,3.62857,0,20.0111,0,0,0,0,0,0,41.3052,0,2.2516e-05,2.2516e-05,2.2516e-05
3,5.16933,0,19.9657,0,0,0,0,0,0,41.3093,0,3.34033e-05,3.34033e-05,3.34033e-05
4,6.87539,0,19.8991,0,0,0,0,0,0,41.3142,0,4.09919e-05,4.09919e-05,4.09919e-05
5,8.46836,0,19.8589,0,0,0,0,0,0,41.3182,0,4.52819e-05,4.52819e-05,4.52819e-05
6,10.1281,0,19.804,0,0,0,0,0,0,41.3182,0,4.62731e-05,4.62731e-05,4.62731e-05
7,11.764,0,19.7929,0,0,0,0,0,0,41.327,0,4.39657e-05,4.39657e-05,4.39657e-05
8,13.9097,0,19.7341,0,0,0,0,0,0,41.3365,0,3.83597e-05,3.83597e-05,3.83597e-05
9,15.4114,0,19.6909,0,0,0,0,0,0,41.3365,0,2.94549e-05,2.94549e-05,2.94549e-05
10,16.9429,0,19.6997,0,0,0,0,0,0,41.3556,0,1.72514e-05,1.72514e-05,1.72514e-05
